,Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
338,1722592839,__NA__,0.0,0.0,0.0,Because they have nothing to hide,1,0.0,0.0,Not sure,97,0.0,0.0
219,1722596479,__NA__,0.0,0.0,0.0,None,99,0.0,0.0,Don’t know,97,0.0,0.0
143,1722612563,__NA__,0.0,0.0,0.0,"Because they are constantly doing research and keeping track of infections, deaths, variants, remedies, etc.",2,1.0,4.0,"Because people will not sit still as long as they should, so 5 days is better than nothing.",9,0.0,0.0
141,1722619631,I hate needless,98.0,0.0,0.0,They lie area 51,10,0.0,0.0,They had issues,99,0.0,0.0
139,1722619639,__NA__,0.0,0.0,0.0,O dont trust,12,0.0,0.0,Unsure,97,0.0,0.0
142,1722619703,__NA__,0.0,0.0,0.0,I think the facts and the numbers provide the reality of what’s going on with this pandemic,4,0.0,0.0,The transmission period maybe and further research. I also think the advanced stages of the vaccine has helped.,1,10.0,0.0
145,1722627691,I do not want to put anything else into my body.,98.0,0.0,0.0,"At first I thought they were very reliable, but now they are saying the people that have passed away in hospitals that did not have Covid they were listed as a Covid death. You just don’t know who and what to believe in this corrupt government",98,13.0,0.0,"Who knows??? It keeps changing day by day, week by week, etc",97,0.0,0.0
144,1722635139,__NA__,0.0,0.0,0.0,I do not trust them,12,0.0,0.0,no idea,97,0.0,0.0
197,1722639131,__NA__,0.0,0.0,0.0,The public health scientists study developments and trends in the virus and make suggestions to the public as to care and treatments.,2,4.0,21.0,They changed their recommendations based on the fact that the virus has a very high recovery rate in people without other health conditions.,1,11.0,0.0
178,1722639551,__NA__,0.0,0.0,0.0,I don't know who to believe or trust,98,0.0,0.0,I don't know,97,0.0,0.0
365,1722641755,__NA__,0.0,0.0,0.0,This Virus is so new I think it is a learning curve for all,11,0.0,0.0,statistics show fewer individuals are being infected by those infected and are not getting that sick.,11,13.0,0.0
148,1722643369,not due for a booster yet.,21.0,0.0,0.0,No one really knows the truth. The stories change every day,13,0.0,0.0,public opposition,8,0.0,0.0
149,1722651503,__NA__,0.0,0.0,0.0,brown university dean was dr at who,5,0.0,0.0,dont know,97,0.0,0.0
150,1722666419,__NA__,0.0,0.0,0.0,Because they are experts in health issues,2,0.0,0.0,Because people need to get back to work and/or school. It’s hard to keep the world running when everyone has to stay at home for ten days,5,0.0,0.0
151,1722666537,__NA__,0.0,0.0,0.0,There are still alot of unknowns about the virus,98,0.0,0.0,they have the research,1,0.0,0.0
152,1722666995,__NA__,0.0,0.0,0.0,"it's constantly evolving so what's accurate now may not be in a short time, sort of like the information that was disseminated at the beginning of the pandemic",4,0.0,0.0,"backlash and impact on the economy, education of children, and people's mental health",8,5.0,0.0
154,1722667001,I am getting tire of all this craziness. I got sick with covid after 2 shots. I am not sure what to think anymore.,5.0,9.0,0.0,"There is so much conflicting information, It depends on which network you watch. Real science is telling us different facts then the media and politicians.",14,0.0,0.0,They shortened the isolation period but we need to get back to work and back to normal,5,0.0,0.0
153,1722667773,__NA__,0.0,0.0,0.0,They are the experts and have medical degrees and I do not. The science for the vaccine is not new.,2,4.0,0.0,Companies were becoming impatient and wanted the CDC to change it for convenience.,5,0.0,0.0
155,1722671617,It didn't work,5.0,0.0,0.0,They don't know,11,0.0,0.0,Be it'd growing,99,0.0,0.0
156,1722682889,__NA__,0.0,0.0,0.0,Nothing is consistent with what public health scientists say.,13,0.0,0.0,Because more people are vaccinated,10,0.0,0.0
158,1722682925,__NA__,0.0,0.0,0.0,Sometimes they contradict themselves. They talk in absolutes.,13,0.0,0.0,I think cdc realized that many people just were following their guidelines.,98,0.0,0.0
157,1722683261,__NA__,0.0,0.0,0.0,0,99,0.0,0.0,0,99,0.0,0.0
170,1722692201,__NA__,0.0,0.0,0.0,I trust the science behind their determinations.,2,4.0,0.0,"I think the CDC gave in to the criticism of the ""right"".",8,7.0,0.0
161,1722693657,__NA__,0.0,0.0,0.0,They are paid to do and say what they are told,20,0.0,0.0,I don't know,97,0.0,0.0
169,1722697609,Because I was sick and my doctor told me to wait before I get my booster,21.0,0.0,0.0,They have the knowledge of science,2,0.0,0.0,I am not a scientist but it seems that they are trying to make some thing that was working very go to try to do something that I don’t know if they are changing it to fast to understand the outcome,99,1.0,0.0
160,1722697877,__NA__,0.0,0.0,0.0,They do studies and research so they know,4,2.0,0.0,Research,1,0.0,0.0
159,1722698127,__NA__,0.0,0.0,0.0,They have been wrong more times than being right,16,0.0,0.0,Follow the science,1,0.0,0.0
163,1722698709,__NA__,0.0,0.0,0.0,They flip-flop consistently. promote lock downs and masking always,13,0.0,0.0,because they really don't know!,4,0.0,0.0
162,1722698805,__NA__,0.0,0.0,0.0,The information is based on the most up-to-date science. It is nuanced and is not political in nature.,4,7.0,0.0,The science reflects this as a good policy. It also reflects the need to have some type of normal life.,1,98.0,0.0
164,1722698963,Because people are getting infected with Covid even though they are vaccinated so I don't see a point,6.0,0.0,0.0,Because the vaccines don't protect against ilnesses,98,0.0,0.0,Not sure,97,0.0,0.0
165,1722699043,__NA__,0.0,0.0,0.0,I trust them mostly but not totally.,3,0.0,0.0,I really don't know. I guess they think it's ok.,97,0.0,0.0
411,1722704617,__NA__,0.0,0.0,0.0,Don't trust any of them,12,0.0,0.0,Because they know it doesn't work,1,0.0,0.0
167,1722711599,I have had contact with someone with active covid within the last 7 days and was told to reschedule,21.0,0.0,0.0,There is always a percentage of failure to observe a certain group. Thankfully I am not usually in it,99,0.0,0.0,No idea but after 7 days Covid spread in my home and it was sanitized well,97,0.0,0.0
166,1722711667,__NA__,0.0,0.0,0.0,All you have to say is Fauci. The man is a shill or has begun to come across as one. Time to get someone we can trust we deserve that. Not someone who wants to be on magazine covers,98,0.0,0.0,Because of pressure due to Biden sagging pills and the “fed up” mentality of many.,6,8.0,0.0
168,1722711857,__NA__,0.0,0.0,0.0,I always trust the experts to know more than me in their field,2,0.0,0.0,Due to an increased amount of vacinated people,10,0.0,0.0
172,1722713667,"My second dose was in December, so I don't qualify yet. My asthma flared 3 days later and has not subsided sine. I am taking multiple for the first time in years. So I will wait til after my April Dr visit",21.0,18.0,0.0,"We are learning more every day. Masks were nor initially deemed necessary. We know better thru research and data. I trust what is thought on a given day, but, we could find out differently and me ready to say. oops, we need to change that",4,0.0,0.0,"Thru data collection and the ongoing scientific process. I alos think pressures from all sides may play a part, I hope not",1,8.0,6.0
390,1722721427,The vax it self didn't work. I was forced to take it Just ot get Covid anyways. When the Pharmaceutical manufacture lose their government protection from being held liable to any adverse reactions. I’ll be more open to a booster.,5.0,3.0,4.0,It has become political. Covid has been used as a political weapon to drive public policy,20,0.0,0.0,They had to. We are all exposed every day. People cant stop working 2 weeks per exposure.,5,9.0,0.0
175,1722728725,__NA__,0.0,0.0,0.0,Because they are the scientists. This is their responsibility and specialty,2,3.0,21.0,Not sure why but should've kept it to the 10 days isolation,97,0.0,0.0
173,1722728765,__NA__,0.0,0.0,0.0,I believe the science.,4,0.0,0.0,The CDC gave in to the right-wing conservatives.,6,8.0,0.0
300,1722737199,__NA__,0.0,0.0,0.0,"CDC director is unqualified, Fauci and every one lies constantly. Cloth masks never worked and any medical professional knows this. they lie to the american people almost every day.",11,10.0,16.0,"Because Joe Biden is president and they cant have any more bad economy, bad jobs report etc...everything has to stay open and working for biden.",5,6.0,0.0
176,1722737807,__NA__,0.0,0.0,0.0,Because I trust them.,3,0.0,0.0,Because they are trying to improve their public opinion.,8,0.0,0.0
177,1722739431,__NA__,0.0,0.0,0.0,theyr trains and trustworthy professionals,2,3.0,0.0,more facts and data,1,0.0,0.0
181,1722739469,I haven't felt a need for it. I am concerned about side effects from getting numerous boosters.,15.0,1.0,0.0,They have been wrong about a lot and I really don't trust anyone at this point.,16,12.0,0.0,They keep changing their minds so it's just how they do things. God only knows why they do what they do.,4,97.0,0.0
179,1722739655,__NA__,0.0,0.0,0.0,they fail to give complete statistical information,10,0.0,0.0,10 days is simply too cautios,9,0.0,0.0
180,1722740611,__NA__,0.0,0.0,0.0,because what they are saying about nurses giving cpr without ppe is insane,98,0.0,0.0,because the economy can’t afford to shut down,5,0.0,0.0
182,1722741775,__NA__,0.0,0.0,0.0,they're owned by big pharma,98,0.0,0.0,they knew omicron was unstoppable,98,0.0,0.0
304,1722749271,__NA__,0.0,0.0,0.0,I oniy trust science.,4,0.0,0.0,No idea.,97,0.0,0.0
183,1722749953,__NA__,0.0,0.0,0.0,some of it is beleiveable some i think is bullshit to scare the public into getting a shot,10,0.0,0.0,its different for everyone,99,0.0,0.0
190,1722752105,__NA__,0.0,0.0,0.0,THEY ARE PASSING ON THE LIES OF FAUCI AND DO SO FOR MONETARY GAIN AND THE LOSS OF FREEDOM FOR THE WORLD AND AMERICA TOO,20,0.0,0.0,THEY HAVE BEEN LYING AND PEOPLE ARE SICK OF THIS. THEY ARE LIARS AND TYRANNTS,15,14.0,0.0
184,1722752619,__NA__,0.0,0.0,0.0,Because what do they have to gain from misinformation? Now politicians have something to gain misinformation,7,0.0,0.0,Money,5,0.0,0.0
186,1722752693,I have no good excuse I will make the time this week,98.0,0.0,0.0,Because that's what they do study our health so we don't spread disease I've always kept science out of politics,2,7.0,0.0,Because they learn more about COVID every day life all disease it changes as long as it's able to spread,1,0.0,0.0
188,1722752695,__NA__,0.0,0.0,0.0,na,99,0.0,0.0,did not work,98,0.0,0.0
185,1722752959,Bad reaction to first 2 shots,15.0,2.0,0.0,I don't feel we always get the whole truth on matters.,10,0.0,0.0,To better the economy,5,0.0,0.0
189,1722761889,__NA__,0.0,0.0,0.0,"I think most information is reliable, but there is so much uncertainty with COVID I believe it's hard for health persons to keep up with accurate info.",4,0.0,0.0,To get people back to work quickly due to too companies struggling with employees out sick.,5,0.0,0.0
191,1722765259,__NA__,0.0,0.0,0.0,"I have great trust in science, although not foolproof, I trust the test results",4,0.0,0.0,"more science, more data, more information",1,0.0,0.0
193,1722765627,Not within the 6 months I cannot get it b,21.0,0.0,0.0,Unknown virus. Everyone is still learning about it all. The side effects and treatment,11,0.0,0.0,Realize the actual amount of contagious times,1,0.0,0.0
195,1722769681,__NA__,0.0,0.0,0.0,"This is a bio-weapon created by the left wing liberals to depopulate the world so they could develop the toxic experimental drug loaded with spike proteins that break down a person's immune system to and actually has the virus inside the shots. This is not a vaccine to protect anyone but to destroy human population and causes severe side effects like blood clots, heart attacks and heart problems, seizures, Bells Palsy, fibromyalgia and brain disorders. to eventually kill people globally. Wake up folks and smell the cabal's agenda. The patients are dying in hospitals because they're being deprived of hydroxychloroquine and Ivermictin antibiotics to properly treated all patients with covid-19.",20,0.0,0.0,Because they change their minds like a yo yo to confuse the population into believing the lies about covid-19. It's all about controlling the masses.,3,15.0,0.0
210,1722772261,__NA__,0.0,0.0,0.0,Information is changing constantly,98,0.0,0.0,research - I hope,1,0.0,0.0
192,1722774883,__NA__,0.0,0.0,0.0,they cannot disseminate wrong information. everything needs proof or source.,3,5.0,0.0,based on science,1,0.0,0.0
194,1722775121,__NA__,0.0,0.0,0.0,Not telling the full information of the virus.,10,0.0,0.0,Hopefully due to the study of infectious people,1,0.0,0.0
203,1722776913,I am not eligible yet,21.0,0.0,0.0,They are looking out only for the best interest of big pfarma,20,0.0,0.0,They want more people to die,14,0.0,0.0
199,1722777079,__NA__,0.0,0.0,0.0,They have no reason to falsify the dangers of the pandemics,3,21.0,0.0,To preserve health care workers,98,0.0,0.0
206,1722784743,waiting to make an appointment for when the weather clears,98.0,0.0,0.0,not sure if they are honest or not so I assume most are honest,1,0.0,0.0,maybe they did testing on people and found out 5 days is long enough to stay away from others.,1,0.0,0.0
198,1722784823,__NA__,0.0,0.0,0.0,they are doing the best that they can,1,0.0,0.0,they are learning more about the virus,1,0.0,0.0
200,1722786083,Wasn't sure about it.,98.0,0.0,0.0,Can't be too sure if it's true or not.,12,0.0,0.0,Because we have to make sure they don't spread it to others.,98,0.0,0.0
201,1722786511,I haven’t gotten a booster shot yet because I haven’t really had the time and I’m waiting to see if they change the booster to better guard against the new variants.,16.0,7.0,17.0,"I believe the information is somewhat reliable because I don’t think they can really tell us everything they know, as some of it is not for public consumption.",3,10.0,0.0,"I think they changed the isolation period in order to keep the economy going, getting people back to work quicker in order to keep the world moving forward.",5,0.0,0.0
202,1722786873,People are getting really sick afterwards,15.0,0.0,0.0,If they don’t even know why expose myself,11,0.0,0.0,More people were getting sick,98,0.0,0.0
207,1722787485,__NA__,0.0,0.0,0.0,I’ve researched the people involved and trust what they are telling me,3,2.0,0.0,"The economy, it’s always comes down to money",5,0.0,0.0
204,1722787605,__NA__,0.0,0.0,0.0,they have a track record of making the best information available. It isn't always 100% accurate but it is the best information at the time,5,0.0,0.0,they must have tested and observed subjects,1,0.0,0.0
208,1722787693,__NA__,0.0,0.0,0.0,They have the science to back them up,4,0.0,0.0,To protect everyone and to keep the it contained . Lesson the impact of wide spreade,98,0.0,0.0
209,1722787983,__NA__,0.0,0.0,0.0,these people study the disease and have fact based opinions,2,4.0,0.0,tp stop the spread,98,0.0,0.0
213,1722788023,__NA__,0.0,0.0,0.0,"it seems like it is always changing, so you don't know what to believe",13,0.0,0.0,"don't know, it seems they are always changng the rules",97,0.0,0.0
205,1722788061,Have to wait 6 months after second dose.,21.0,0.0,0.0,They are doing the best they can.,1,0.0,0.0,For financial reasons from sports teams.,5,15.0,0.0
211,1722798021,__NA__,0.0,0.0,0.0,I trust the professionals,2,0.0,0.0,"So we can move through this faster, (ie: get treatments, get back to work/school, not be inconvenienced",98,0.0,0.0
212,1722798451,__NA__,0.0,0.0,0.0,They are experts,2,0.0,0.0,I do not know,97,0.0,0.0
228,1722804923,__NA__,0.0,0.0,0.0,They back their findings by research and constantly evolve their thinking and recommendations.,2,4.0,0.0,Economic only,5,0.0,0.0
214,1722806989,__NA__,0.0,0.0,0.0,"They have done alot of research for us, we can do it ourselves but it's better for an expert do it professionally",2,0.0,0.0,It should be longer because viruses are known for staying a while in our bodies,98,0.0,0.0
224,1722807857,__NA__,0.0,0.0,0.0,I’m hoping that they are not lying to us,1,0.0,0.0,No idea,97,0.0,0.0
216,1722809833,__NA__,0.0,0.0,0.0,Because they work with the government,98,0.0,0.0,Because it was too long,9,0.0,0.0
215,1722809909,__NA__,0.0,0.0,0.0,Changes all the time. Healthcare in this country is a joke. So terrible.,13,11.0,0.0,To keep the economy open.,5,0.0,0.0
220,1722811123,__NA__,0.0,0.0,0.0,This is where your Doctor gets his info from.,5,0.0,0.0,From data they have collected.,1,0.0,0.0
217,1722818403,do not feel i need it.,1.0,0.0,0.0,they have lied,10,16.0,0.0,more data,1,0.0,0.0
222,1722819107,__NA__,0.0,0.0,0.0,I don’t think they really know because this all still now new,11,0.0,0.0,Pressure politically,6,8.0,0.0
223,1722819745,I don’t feel right about the booster shot.,98.0,0.0,0.0,I guess the world is going along with it so why don’t I?,3,0.0,0.0,I guess because they know more about Covid than we do.,98,0.0,0.0
218,1722819829,__NA__,0.0,0.0,0.0,"They are public health scientists, they are on the forefront of research for these types of situations",2,0.0,0.0,New evidence has shown that the length of time does not need to be that long,1,0.0,0.0
221,1722820157,First off I'm not due for one yet and secondly I'm deciding if I really need one as my immune system is quite Superior,21.0,16.0,11.0,I don't think they know everything,11,0.0,0.0,Because the new variants while more contagious are less lethal,2,0.0,0.0
225,1722827369,__NA__,0.0,0.0,0.0,Because everything changes everyday,13,0.0,0.0,I have no idea and I don't want to give an opinion,97,0.0,0.0
227,1722829411,"I don't see the point in getting the booster, my family and I just have covid for the second time a few weeks ago and we were all perfectly fine. I don't see the point in putting anything else into my body that is not needed.",12.0,10.0,6.0,I feel that they aren't being truthful with the actual facts about the coronavirus.,10,0.0,0.0,The virus's infection period is shorter now.,1,0.0,0.0
226,1722829597,__NA__,0.0,0.0,0.0,Idk,99,0.0,0.0,I don't recommend that,99,0.0,0.0
231,1722836929,__NA__,0.0,0.0,0.0,No reason to doubt them,3,0.0,0.0,Better data,1,0.0,0.0
229,1722837975,__NA__,0.0,0.0,0.0,It changes too much.,13,0.0,0.0,Because they realize it doesn't work and the public knows it.,1,8.0,0.0
230,1722838277,__NA__,0.0,0.0,0.0,Not sure really,99,0.0,0.0,Not sure but I wish it was longer,97,0.0,0.0
232,1722847781,__NA__,0.0,0.0,0.0,They are very well informed.,2,0.0,0.0,research showed five days adequate.,1,0.0,0.0
233,1722848171,__NA__,0.0,0.0,0.0,They are probably as confused as we are,11,0.0,0.0,Not enough people working,5,0.0,0.0
235,1722848279,__NA__,0.0,0.0,0.0,they are working hard on this problem,1,0.0,0.0,"finding out that tests show ,one is cleared in 5 days of spreading",1,0.0,0.0
236,1722848841,__NA__,0.0,0.0,0.0,They are experts and know more than anyone else,2,0.0,0.0,They have learn new information about the virus which caused the policy change,1,0.0,0.0
234,1722848929,__NA__,0.0,0.0,0.0,"Because the head of the CDC basically wrote off disabled people and took down protections too early. What matters more is making money, not safety",20,0.0,0.0,To make the government happy and to have America open for business,6,5.0,0.0
248,1722849639,Timing,21.0,0.0,0.0,Education & experience,2,0.0,0.0,Compiled data,1,0.0,0.0
237,1722857407,I have waited because it seems like some people who have gotten it are still getting sick,6.0,16.0,0.0,I think it could really go either way,98,0.0,0.0,Because of the new variants,2,0.0,0.0
238,1722857581,__NA__,0.0,0.0,0.0,They're promoting the disease for their own gain.,20,0.0,0.0,They're getting too much pressure for their draconian rules.,99,0.0,0.0
239,1722857821,__NA__,0.0,0.0,0.0,They make mistakes too!,16,0.0,0.0,So people can go back to work!,8,0.0,0.0
241,1722858407,Cause I got my second shot 3 days ago,21.0,0.0,0.0,The whole covid thing is being used for anything if you get a cold they say covid,16,11.0,10.0,No reason,98,0.0,0.0
242,1722858613,__NA__,0.0,0.0,0.0,"They're the ones dealing with this on a daily basis, and their collaborative work is reliable",2,3.0,0.0,Most people probably show symptoms within 5 days of contact with someone positive,98,0.0,0.0
250,1722858859,__NA__,0.0,0.0,0.0,They keep flip flopping,13,0.0,0.0,Not contagious after 6 days,1,0.0,0.0
240,1722866509,__NA__,0.0,0.0,0.0,Because science isn't exact and so much is still unknown,11,0.0,0.0,Because life has to keep moving forward,98,0.0,0.0
243,1722868785,__NA__,0.0,0.0,0.0,I have confidence in public health scientists.,3,0.0,0.0,Evidently the CDC must have analyzed finding and made that recommendation.,1,0.0,0.0
244,1722868897,"I'm not behind. It's only been five months since my second shot, so I don't need the booster for another month.",21.0,0.0,0.0,"They've put their entire lives into studying these topics, so they should be the one who know the most.",2,0.0,0.0,"I'm not sure. It could be new information, or it could be political or economic pressure.",1,6.0,5.0
245,1722869569,__NA__,0.0,0.0,0.0,their information changes as the virus evolves and they learn more about it. if they never change their recommendations id be worried,2,1.0,3.0,pressure from the right to get the country open and moving again,8,0.0,0.0
246,1722873951,__NA__,0.0,0.0,0.0,"Having taken Public Health courses through Johns Hopkins featuring some of the wotld's most highly trained and regarded scientists and medical practitioners, I TRUST the information presented. I do NOT, hoerver trust nutjobd likr Dr. Oz!",3,4.0,0.0,Pressure from Republicans and the MAGA yoyos .,8,6.0,0.0
247,1722877465,They do not work,6.0,0.0,0.0,There is too much lying and cheating going on,10,0.0,0.0,Because the CDC people are corrupted and it's all about the money,14,15.0,0.0
249,1722889119,I was sick with a cold. Then once I was better I got COVID-19. Now I can schedule it.,21.0,0.0,0.0,I trust their expertise.,2,0.0,0.0,I assume because people aren't contagious for as long as they originally thought.,1,0.0,0.0
251,1722891857,__NA__,0.0,0.0,0.0,I would hope that they are keeping accurate statistics.,3,4.0,0.0,It was a compromise to ease production and to facilitate individual needs,5,0.0,0.0
255,1722911203,__NA__,0.0,0.0,0.0,I hear a different story every time.,13,0.0,0.0,They are basing their decision off what they are learning over time with the virus because it is so new & still being studied.,1,0.0,0.0
357,1722915417,__NA__,0.0,0.0,0.0,"Sometimes, the information provided is inaccurate.",16,0.0,0.0,To get people back to work and keep children in school is why they changed the isolation period.,5,0.0,0.0
253,1722918453,__NA__,0.0,0.0,0.0,smart know what they are doing,2,0.0,0.0,mor epeople vaccinated,10,0.0,0.0
252,1722919765,__NA__,0.0,0.0,0.0,none,98,0.0,0.0,none,98,0.0,0.0
256,1722920151,I am not getting the booster because it is unnecessary,20.0,0.0,0.0,I think it is unreliable because it is coming from the mainstream and not from independent sources.,98,0.0,0.0,The CDC cannot force people to quarantine because that is unconstitutional.,98,0.0,0.0
258,1722920301,__NA__,0.0,0.0,0.0,They have alot of notable information and valuable research with the growing pandemic,2,0.0,0.0,The skyrocketed number of cases,98,0.0,0.0
257,1722920463,__NA__,0.0,0.0,0.0,I still am not sure what is true and what is not,98,0.0,0.0,Because they are not sure themselves and this is only a guessing game,4,0.0,0.0
284,1722926245,"I got two vaccinations for the COVID virus, got Covid 4 months ago and I’m still dealing with effects from COVID. Not wasting my time and health for the booster.",5.0,7.0,9.0,I don’t believe all of what they claim.,10,0.0,0.0,Who the Hell really knows,97,0.0,0.0
260,1722929115,__NA__,0.0,0.0,0.0,Fauchi can't be trusted. He is a lying control freak. He's been described as both FRAUD-chi and using a combination of his name and Pinocchio. I agree.,98,10.0,0.0,Because they know the whole thing is a big sham.,15,12.0,0.0
259,1722929265,__NA__,0.0,0.0,0.0,They don't appear to follow the science. They appear to follow Biden/ Fauci,10,20.0,0.0,Citizens have had enough of the lies and politics,8,14.0,0.0
261,1722929443,I am not yet eligible for the booster.,21.0,0.0,0.0,I feel this way because PH scientists are being forced to conform to a specific message in order to keep working.,98,0.0,0.0,The CDC changed its recommended isolation period because too many people were not going to work. Employers were being negatively afftected.,5,0.0,0.0
265,1722937505,__NA__,0.0,0.0,0.0,"They have made studying and practicing science and medicine they're lifes work, with an already existing background on helping the public. They have no agenda this is their job",2,1.0,21.0,I think people were not complying so they made it easier to follow,9,0.0,0.0
262,1722937573,__NA__,0.0,0.0,0.0,They're basing it on science even if the results change over time.,4,1.0,0.0,to make the economy work better,5,0.0,0.0
264,1722937587,__NA__,0.0,0.0,0.0,They are the experts who have first hand knowledge of the combined reports from all sources.,2,0.0,0.0,I think they went from 14 days to 5 days because they now have a greater understanding of how long after you test positive can you transmit the virus. I think they are also affraid to keep people from work longer then needed.,5,1.0,0.0
263,1722937975,__NA__,0.0,0.0,0.0,They are educated and extremely knowledgeable when it comes to public health.,2,0.0,0.0,Because vaccines are working,10,0.0,0.0
266,1722946265,__NA__,0.0,0.0,0.0,I just feel more time and long term studies are needed,11,0.0,0.0,"They change things when it's convenient for them, I dunno",97,14.0,0.0
267,1722946341,__NA__,0.0,0.0,0.0,The research they doing is bullshit,12,0.0,0.0,They changed the period Bcs they don’t know what the fuck they are talking about … I mean really they lie about everything so why in the fuck should we trust the “CDC” . Fucking repltelians,4,15.0,14.0
271,1722946511,__NA__,0.0,0.0,0.0,I trust them,3,0.0,0.0,To lessen the impact on business,5,0.0,0.0
268,1722946863,__NA__,0.0,0.0,0.0,to many condradicting stories,13,0.0,0.0,people once feeling better need to get back to living and working.,5,0.0,0.0
270,1722954535,I just had covid and received the MAB infusion,21.0,0.0,0.0,i feel they don't tell us everything,10,0.0,0.0,don't know,97,0.0,0.0
269,1722954921,__NA__,0.0,0.0,0.0,NEED MORE INFORMATION,98,0.0,0.0,THE VARIANT,2,0.0,0.0
273,1722955207,CAN'T FIND IT,8.0,0.0,0.0,TOO MANY TURN AROUNDS,13,0.0,0.0,GOT ME,97,0.0,0.0
278,1722955471,__NA__,0.0,0.0,0.0,I just trust our government.,98,0.0,0.0,Because the lesser time seems enough.,1,0.0,0.0
276,1722955631,__NA__,0.0,0.0,0.0,It’s all a political agenda,20,0.0,0.0,Politics to save the economy,5,6.0,0.0
272,1722955739,"Work a lot, no time to get it",7.0,0.0,0.0,It’s their job,2,0.0,0.0,I’m not a doctor,97,0.0,0.0
274,1722962115,__NA__,0.0,0.0,0.0,they change the info like you change socks,13,0.0,0.0,they dont know,4,0.0,0.0
275,1722962159,__NA__,0.0,0.0,0.0,No one really knows this virus,11,0.0,0.0,Not sure,97,0.0,0.0
277,1722962265,Got covid pneumonia just ready to get my booster now covid Dec have to wait,21.0,0.0,0.0,Idk,99,0.0,0.0,Too long of incubation,98,0.0,0.0
282,1722963557,__NA__,0.0,0.0,0.0,"No one can be 100 percent sure, but they have most of the facts and data",2,0.0,0.0,"People are up in arms about staying home, as far as I’m concerned they should have a negative result before returning to work or school",8,0.0,0.0
279,1722963773,__NA__,0.0,0.0,0.0,"Because they are public health, they must speak the message that the government wants. If they had any doubts, they wouldn't speak against anything.",98,10.0,0.0,Too many people out of work when they may not actually have the virus,5,0.0,0.0
281,1722964225,__NA__,0.0,0.0,0.0,I think they are somewhat more reliable than many others,3,8.0,9.0,They keep changing it is kind of ridiculous I don’t know if they’re changing it in response to the virus variance rotating but it’s absolutely asinine,97,2.0,4.0
280,1722970653,I’ve been sick,98.0,0.0,0.0,I trust what people tell me about my safety,3,0.0,0.0,Things have calmed down in certain places.,13,0.0,0.0
283,1722971895,__NA__,0.0,0.0,0.0,"some information seems bias, some information seems limited and everyone reports something different. This makes getting the facts hard and news unreliable",14,6.0,0.0,They may have more information now than they did before at the start of this pandemic,1,0.0,0.0
285,1722972077,__NA__,0.0,0.0,0.0,"History is short. Officials are doing the best they can to protect the public's health and cover their own ""asses""",99,0.0,0.0,Apparently research showed 10 days in isolation was unnecessary,1,0.0,0.0
286,1722973083,__NA__,0.0,0.0,0.0,They are getting the information,2,0.0,0.0,More people are vaccinated,10,0.0,0.0
288,1722980211,__NA__,0.0,0.0,0.0,I believe that most scientist are getting thier information only from cdc director or Dr.Fauci I would like to hear from someone else.,98,0.0,0.0,So there wouldnt be long periods of unemployment and can keep kids in school,5,0.0,0.0
287,1722980329,__NA__,0.0,0.0,0.0,health care people coming to media is very great and trying to help us,21,0.0,0.0,may be they assumed people are vaccinated and they only need 5 days to recuperate,10,0.0,0.0
289,1722981675,__NA__,0.0,0.0,0.0,Because I trust that they know what they are talking about and that they are giving correct information to the public,3,1.0,0.0,I have no idea why they changed this.,97,0.0,0.0
290,1722988167,I think is only for people with have chronic conditions,1.0,11.0,0.0,Is somewhat reliable because I have nonchoive but to trust them,3,6.0,0.0,I really don't know why but I guess is leas contagious,97,11.0,0.0
291,1722989073,I just haven't had the time or energy to go and get it,7.0,0.0,0.0,I trust them to spread accurate information,3,0.0,0.0,I don't know,97,0.0,0.0
345,1722993955,__NA__,0.0,0.0,0.0,I trust science.,4,0.0,0.0,Reluctance of idiots to follow rules,9,0.0,0.0
293,1722997157,I’m on immunosuppressant medications and don’t leave my house aside from doctors visits so I don’t really come in contact with others.,98.0,0.0,0.0,I think the information is as reliable as it can be with the ever changing variants and changing data.,4,0.0,0.0,They changed it because people are ‘tired’ of COVID and they know most people probably are t following the guidelines anyway so they made it shorter to alleviate some ‘Covid fatigue’.,8,9.0,0.0
294,1722997269,__NA__,0.0,0.0,0.0,They are still learning. Science changes. Nature of the game.,4,2.0,0.0,I’m not a scientist.,97,1.0,0.0
292,1723001401,__NA__,0.0,0.0,0.0,Not tested enough,98,0.0,0.0,Because covid is more widespread now and omicron is less deadly,97,0.0,0.0
295,1723004485,__NA__,0.0,0.0,0.0,Because they are professionals who have studying epidemics. I particularly trust Fauci.,2,0.0,0.0,Because they have studied the science. I trust they are right.,1,0.0,0.0
298,1723009789,__NA__,0.0,0.0,0.0,Too many lies. Too many “circle-backs”. Contradictions and blatant lies.,10,13.0,0.0,Because they cannot show any peer-reviewed documentation to prove their stance. Fauci is on the Pfizer pharmaceuticals teat and he's a miniature megalomaniac and a horrid liar and a creator of disease intended to harm the world's population. Fauci funded GAIN OF FUNCTION RESEARCH AND EXPERIMENTS.,15,14.0,0.0
