Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1725869061,i heard that you had to wait six months after the second dose of the vaccine to get the booster and ut has only been 3 month after my second dose,21,,,"because they are the experts in that field they have worked and dealt with disease, illness so i trust them",02,,,becuase so symptoms take longer to develop,98,,
1726175517,__NA__,,,,Why not.,98,,,Vaccines and less dangerous version of COVID,10,02,
1726172295,__NA__,,,,Scientists will bend the truth sometimes to fit the narrative.,10,,,Shortage of critical workers,05,,
1726174919,__NA__,,,,"At this point in our history, no one can be trusted anymore. The true intentions of our government and leaders isn't to benefit its people. It's to control us and profit off of us. Doesn't matter who is president. They want total control of us and will not stop until they have done so. Anyone who doesn't believe this is living in a fairytale. If we have learned anything from history it is that money and power control everything.",19,20,,Because this is a PLANdemic. Truth finders have been talking about this happening for over a decade. Now it's finally happening in front of our eyes,15,,
1726182743,__NA__,,,,Some recommendations seen to be motivated by economic factors and not science and health concerns.,10,,,Pressure from business concerns.,05,,
1726187593,__NA__,,,,It is their lane,98,,,Better data,01,,
1726199233,Scared,98,,,To many,99,,,Should be 10 cause symptoms can still be present,98,,
1726202895,Don't feel I need it,20,,,They double talk and frequently don't practice what they preach. Like you should wear a mask in public when they are videoed in large groups without masks,14,,,It should only be as long as you have symptoms,98,,
1726201813,__NA__,,,,There is a lot of false information!!!,11,,,Everything is always changing so much it’s hard to sa,98,,
1726218935,I think 2 shots it’s enough. I had COVID so I have the antivirus,01,10,,They exaggerate with COVID it’s not that serious,10,,,CDC has noticed the COVID is not so bad as they thought,11,,
1726194715,__NA__,,,,Because they know a lot more about the virus then people like me do.,02,,,So that we can get a more sense of real life,08,,
1726228679,__NA__,,,,Public health scientists would not lie about the severity of this pandemic.,03,,,They’re bowing to pressure from corporations and capitalism. A “return to normalcy” is valued more than peoples lives.,05,,
1726230565,I got extremely sick after both initial shots. I’ve never experienced anything that bad before in my life. I also had Covid during the beginning of the pandemic as a first responder. Covid was a cold. The shots were absolutely unbelievable.,02,10,,Fauci has flipped and flipped. DoH just follows what he says. Meanwhile opinions that were called false are continually becoming known facts.,13,,,Because people have to work and most people that get Covid are fine.,05,11,
1726232457,__NA__,,,,Trust in public institutions and their expertise,03,,,New studies and data,01,,
1726232927,__NA__,,,,I trust them,03,,,Studies showed,01,,
1726242053,__NA__,,,,"They have lied or mislead the public about almost every pandemic variable since the beginning. My eyes and ears tell me a totally different story than what our public health officials tell me. Masks don't work, vaccines don't work, the virus isn't that dangerous, there are myriad treatments and pharmaceutical preventive measures. Nothing we've done for 2 years has materially impacted the epidemiology of the pandemic.",16,,,Because the Overton window on the pandemic is moving to the right. People are sick of all the restrictions and the CDC knows this. It also might have something to do with combating the absentee rates at businesses and hospitals. Can't keep things moving if everyone is home sick with covid and not allowed to return to work.,08,05,
1726242993,__NA__,,,,"Virus mutates, altering data",98,,,10 days unmanageable,09,,
1726252521,__NA__,,,,"Corruption from CDC, FDA, and the NIH prevents sincere attempts from scientists and doctors to properly treat covid. Examples of ignored effective treatments: Ivermectin, myfreedoctor.com, higher doses of steriods in hospitalization",10,20,,When symptoms are gone,99,,
1726254397,__NA__,,,,"Who could ever really be sure? The logic stands to question, if the vaccines truly are part of some government plot to conspire against it's citizens, what would it stand to gain?",98,,,Most likey by settling with all of those opposed. A little quarantine is better than no quarantine.,08,,
1726254533,__NA__,,,,Because since this is a pandemic we have never seen before I feel too much information inconsistent is being put out there to make non believers believe even less - one day vaccines work another day they don’t work . There are too many uneducated people in this world and a lot are taking advantage of them,13,,,New data,01,,
1726262389,I don’t have any health conditions that would cause concern. I have had Covid and was asymptomatic. I don’t believe I need a booster.,11,10,,I believe the information is being filtered.,10,,,Better understand of the timeframe of Covid,01,,
1726264345,__NA__,,,,they have scientific data,02,,,time to spread is less,01,,
1726264851,__NA__,,,,They’re licensed medical professionals,02,,,Complaints from tbe public,08,,
1726262123,__NA__,,,,I work in science and understand the background and procedures in place for information verification,04,,,Balance of virus contagious period with societal hardship impact for longer quarantine,09,01,
1726275597,__NA__,,,,,99,,,,,,
1726287189,__NA__,,,,"Public health scientists rely on information from the WHO, CDC, as well as regional, state, and local scientists; scientific research (like peer-reviewed articles); and other major authorities who study epidemiology, pandemics, and related subjects, as well as track relevant data.",02,,,"I think the CDC has had to compromise based on information and data from scientists, pressure from politicians, and pressure from large corporations and other influences on economics.",01,06,05
1726288815,__NA__,,,,That’s their job. Science does lie.,02,,,Scientific studies,01,,
1726288793,__NA__,,,,Because they make money depending on who they support,20,,,Money,05,,
1726288849,__NA__,,,,Biden,99,,,?dfjkllheuj,99,,
1726299071,Not needed it’s a joke,20,,,They have been wrong the whole time. They don’t know what they are doing. Lies lies lies,11,16,,Cause they are clueless. It should have been different s long time ago. They turned it into politics and theater. Idiots,04,,
1726300103,__NA__,,,,Idk man things keep shifting and it's hard to keep up,13,,,Because of businesses pressuring them to,05,,
1726300773,I was scheduled to receive the booster on Jan 3 2022 but got sick with covid on jan 2 2022,21,,,Because Everything we have learned about covid from the news so far has been consistent and I'm not a Dr so I have no choice but to listen to what we hear and make my decisions off 0f that infomation,02,,,Because I got sick on Monday morning and by Tuesday morning I was so sick and for 10 days I had every single symptom and no one was here until day 13 I could never imagine only 5 days by day 5 my symptoms were in full force and it was the scariest time in life,99,,
1726313229,__NA__,,,,Because they are scientists.,02,,,"Mixed reasons. Economic and political, as well as for public health",05,06,
1726313931,__NA__,,,,They’re paid by the companies making these drugs; those same companies have continuously been found guilty of medicinal crimes. Covid is entirely a way to transfer wealth and gain more control,10,20,,Started affecting their money,05,,
1726327919,__NA__,,,,I believe they only give us the information they want us to have.,10,,,Because people were complaining 14 days is too long,09,,
1726336967,__NA__,,,,Show me peer review and the science to back up all COVID mandates and restrictions,99,,,"Again, show me the science and peer review of why 10 days was effective and why it is now reduced to 5? What was the study behind it and can it be peered reviewed Show me the data and study please!",99,,
1726339309,__NA__,,,,Because they are experts in their field,02,,,Due to evidence that longer quarantine times does not decrease risk,01,,
1726340213,No time,07,,,Much of the information is inflated on the news and social media. I don't know what to believe. Information is made to increase views,09,,,Capitalism. Need to get people back out in the work force to make money to buy products and food suffering inflation,05,,
1726339453,__NA__,,,,Just a thought,99,,,Don’t know,98,,
1726340199,__NA__,,,,They studied to gain that information,02,,,Cause people were complaining,08,,
1726340473,__NA__,,,,They are knowledgeable and actively in the field and/or participating in research,02,,,"They were seeing that it was effective, however, I do t see a reason to rush it",98,,
1726339535,__NA__,,,,They don’t use logic and won’t admit when they are wrong or actually lie,16,11,,To prevent economic collapse and riots,05,08,
1726340987,__NA__,,,,The science is constantly changing,13,,,Capitalism,05,,
1726350267,__NA__,,,,"Messaging from the CDC has been handled very poorly and this caused permanent public distrust, even for myself.",12,,,To try to get more people to actually comply with quarantining. Few will miss work for 10 days and will just lie instead.,09,08,
1726353505,__NA__,,,,They don't have any motivation to make up information.,01,,,Businesses needed workers.,05,,
1726326037,__NA__,,,,"There seems to be a heavy influence from big Pharma in all of these things and they can’t possibly be 100% reliable given our current capitalist healthcare system. The data has always been reported in a weird way. For instance not differentiating between deaths with Covid and deaths from Covid. Also, the information changes from day to day, so the word “reliable” does not take that into acount",10,,,The original recommendation was over-cautious before we had enough data,01,,
1726336573,__NA__,,,,,99,,,Economy,05,,
1726354537,I had covid and received the antibodies treatment in late November 2021,10,,,Years of experience handling viruses,05,02,,Data,01,,
1726353255,__NA__,,,,bc they study it and i don’t,02,,,capitalism,05,,
1726352199,__NA__,,,,They are the experts and utilize data without regard to politics.,02,07,,"People weren’t following the instructions, and they wanted something people would follow.",08,,
1726371011,__NA__,,,,Misinformation or skewed perspectives on what is true/exaggerated. Media directly to blame.,09,,,Workforce shortages.,05,,
1726354235,__NA__,,,,Selling fear and bullshit constantly on TV instead of selling hope and good science. Don't get me going on dr Fauci,10,,,"Because is bad politics and they can see people are fed up with the bullshit. Is bad for the economy, we've been with this virus for over 2 years enough already, you either got vaccinated or have natural immunity already so let's give this bullshit a rest already. Protect the immune compromised and let the rest live their lives.",05,13,08
1726340485,__NA__,,,,Because I trust the CDC,03,,,Because the science said so.,01,,
1726371321,__NA__,,,,Too many opinions from too many experts,98,,,Unsure,97,,
1726391441,__NA__,,,,"Despite the vaccines and the early treatment options, cases have continued to rise to an all time high as late as a few weeks ago.",98,,,I think that the virus is continuing to mutate and lessen in severity.,02,11,
1726390855,__NA__,,,,Conflicting reports. Metrics and goals for reducing masking in school not provided. Policies for indoor activities don’t make sense,14,,,Not sure,97,,
1726387021,__NA__,,,,COVID/strands are unpredictable.,98,,,I had more symptoms 4 days after I was diagnosed. 10 days is right.,99,,
1726407823,Don’t believe is needed. It’s been proven not to prevent getting or spreading the virus,06,,,Too many contradictions,14,13,,Each person body regardless of vaccination status reacts differently to the virus,99,,
1726389081,__NA__,,,,"They are human too, so they are doing their best but sometimes make statements that make it sound like more is known than actually is",98,,,Economic pressure,05,,
1726424421,I had a prior COVID infection,10,,,They are smarter than me,02,,,Because infectious periods seem to be reduced,98,,
1726407693,__NA__,,,,They have the expertise to understand and explain what is known about the virus,02,,,Because of new information about transmissibility and pressure to move toward normalcy and fewer restrictions.,01,,
1726422719,__NA__,,,,The CDC director needs more public speaking coaching,98,,,So businesses can stay open,05,,
1726426897,__NA__,,,,They have doctorates in infectious diseases and epidemiology.,02,,,"The last 7 day recommendation had more research showing effectiveness. After 5 days there’s still some virus shedding that, while lower than on days 0-4, is still concerning and could lead to infecting others.",01,,
1726424339,__NA__,,,,There were many bad directions taken due to not enough information and fear reactions,16,,,It proved to be more accurate than prior directives,01,,
1726424789,Not needed!!!,20,,,They change weekly what they say,13,,,Because we do not need to isolate,09,,
1726422859,Procrastinating,21,,,They are scientists public or private. Same profession,02,,,To treat it more like a flu,11,,
1726426283,No appointments available,08,,,They are scientists and doctors and I'm not. They know more than the general public.,02,,,People were complaining because two week was to long and now they dont want the economy to crash and they need people to just go back to work.,09,05,
1726409385,Omnicron is so contagious,17,,,Sometimes,99,,,12,99,,
1726300883,Doesn't work just like the vaccine doesn't work. Hospitals were full of vaccinated people.,06,,,Everything they say is never the same or accurate. The death numbers of way overstated.,16,13,11,Because they lie,03,,
1726399637,No need,20,,,I don't know,98,,,More information,01,,
1726918483,__NA__,,,,They give you the scientific facts as they get them,02,,,Bc the contagious period is shorter than they originally thought,01,,
1726920045,__NA__,,,,They’re experts in their field.,02,,,Public outcry from misinformed people.,08,,
1726932819,__NA__,,,,Hard to filter out the actual experts over fake news.,09,,,Pressure from corporations rather than medical,05,,
1726932897,__NA__,,,,"They follow the science, not a politics or social media",09,08,07,They gathered information from known cases.,01,,
1726939851,__NA__,,,,It's ever changing information because the virus is not that old so it's hard to get accurate information from any source,06,,,Because people who test positive were already contagious before they tested,98,,
1726941397,__NA__,,,,Because the data is provided to do your own review,04,,,"More data, so can adjust recommendations",01,,
1726940365,"They don’t seem to protect from the new variants, I know many people how have been bolstered and they end up getting g sick",17,,,"The information is ever changing, I also believe there is money to be made…",20,13,10,The public is not willing to comply anymore.,08,,
1726949115,__NA__,,,,Don’t feel that any one person knows the full scope of COVID-19,98,,,Just do,98,,
1726953381,__NA__,,,,"They have the education, experience and consultation with others at the same level of education to make informed judgement",02,,,More information now about how the virus works,01,,
1726952275,I had covid in January and was advised by my doctor to wait 3 months.,10,18,,Too many inconsistent reports. Too many inconsistent rules.,13,,,Pressure from people. Science has always said it and politicians dictate.,08,,
1726952129,"I’ve gotten Covid twice, once very recently. I have antibodies and when I received the first dose of the vaccine I experienced extreme brain fog and anxiety. I am also not comfortable with a vaccine that has no long term affect studies completed.",10,02,13,"Regulations change, the way to treat the virus and how to protect ourselves is constantly changing. I understand it’s because it was a new disease but I don’t trust the people who told us not to wear masks at the start of the pandemic only because they had a shortage of masks. Masks would have done a decent job protecting me when I initially got covid but they were not recommended.",13,,,Because they realized that the only way to fight this virus is through herd immunity. And there was probably other studies done too proving that it’s not as contagious after a certain period of time,01,,
1726954297,__NA__,,,,"They are the experts, they base what they are saying on scientific evidence.",02,04,,"The longer isolation period was having too severe an impact on workplaces—especially hospitals and other medical workplaces—during the Omicron surge and was unsustainable and evidence showed that 5 days was sufficient in most cases, especially with continued masking.",09,01,05
1726954163,__NA__,,,,I am educated and can understand research,02,,,To keep the economy open during omicron,05,,
1726953293,__NA__,,,,Because it is Big Pharma cash cow and the info is skewed to scare and control. Doctors are getting the same info as the public so give out the same info . It’s the flu where people live or die made to seem worse and scare the hell out of people to make money.,20,10,,Push back. If you are sick stay home until better just like any other illness. They change the rules like the wind. It makes no sense and serves no purpose.,04,08,
1726954597,__NA__,,,,"As a life long federal employee, I trust the government.",03,,,More and better data,01,,
1726962595,__NA__,,,,They are scientists,03,,,The science was more clear,01,,
1726953433,__NA__,,,,"Generally speaking, public health officials are acting in good faith with accurate information. With that being said, there have been too many instances during this pandemic where there have been “flip flops” in recommendations. Vaccines provide protection against severe illness, and since virtually the entire adult population has had access to these vaccines if they want them, it is bad policy to continue with COVID-19 related restrictions on daily life. I believe public health officials should be putting more faith in COVID-19 vaccines when determining policy.",02,13,21,I believe the CDC has begun to recognize the reality that COVID-19 must be treated as an endemic.,11,,
1726964927,Shit don't work,06,,,Political pressure,10,,,Bwcause 10 days is dopey.,09,,
1726964761,__NA__,,,,It is their job! The unfortunately have had to deal with political environment of misinformation fomenting distrust.,08,03,,"Historical data as well as political pressure,",01,06,
1726964273,__NA__,,,,I trust they are using the scientific method to arrive at their conclusions. While not infallible it most likely gives our best outcomes.,02,04,,Pressure to keep the economy moving and a desire to compromise.,05,,
1726965115,__NA__,,,,"They have sometimes changed recommendations, like whether cloth masks are good enough.",13,,,"Because of new information, especially about Omicron.",02,01,
1726965067,Didn’t even want the first shot. Was forced to keep my job. Have no interest in the booster.,98,,,The information has flip flopped so many times and none of the restrictions that have been mandated make any sense. Not one has stopped COVID.,13,,,"Because they are finding out this is no different than the flu, when one is sick you stay home during the transmissible period then carry on with life",11,,
1726967347,__NA__,,,,"I read research articles in my own field so I trust that when a public health scientist states something, it is supported by scientific data.",02,04,,Because of the shortage of workers in all industry due to the rampant spread of omicron.,05,,
1726966113,I had an adverse reaction to vaccine and they shouldn’t be given to anyone that doesn’t have a pre existing condition and at risk.,02,,,Their job is to make policies for all and not individuals,10,,,Flu’s isolation time was 2 days with the same transmission and the flu historically has killed more people each year,11,,
1726976287,__NA__,,,,Sometimes they have to optimize for the greater public good than personal safety. The CDC didn’t recommend masks at first.,98,,,They didn’t want to tank the economy,05,,
1726974599,__NA__,,,,This is their expertise. I have found what they have said to be true for me personally so I trust them.,02,,,Because people are recovering more quickly as vaccination rates increase. Omicron also seemed to present with less serious symptoms in most people.,10,02,
1726976119,__NA__,,,,Pressure by pharmaceutical companies,20,,,People can’t stay isolated that long and no reason for it,09,,
1726974653,__NA__,,,,"As a scientist, I trust science when it is done right",04,,,To keep people working,05,,
1726977765,__NA__,,,,They study the science for a living,02,,,Public pressure,08,,
1726978033,__NA__,,,,They deal with facts,02,,,Using masks and being safe..we need to get back to some type of normal,98,,
1726982521,__NA__,,,,,99,,,Economic pressure,05,,
1726990443,__NA__,,,,They have the education to read the statistics and data to make accurate recommendations to educate the public. Unfortunately a lot is still unknown so their recommendation change with the new findings,02,,,I think they found that 10 days was too excessive and most people feel better sooner.,09,,
1726990275,I had the virus,10,,,They lie to fit their agenda. Especially Flip Flop Fauci & Walensky.,13,10,20,"From Data, false positives & A-symptomatic. Realizing it’s time to get back to normal I’m guessing",01,,
1727000611,__NA__,,,,Nope,99,,,Doesn’t need to be longer or shorter,98,,
1726995965,I got Covid right around the time I was thinking of scheduling my booster,10,,,Because they tell you what the government wants you to hear,10,20,,Because it’s not as serious as we thought and it’s damaging the economy to have people out of work for so long,11,05,
1727000865,__NA__,,,,"Because the CDC is poor at communicating, because public health scientists are clearly, visibly bowing to political pressures, and because Rochelle Walensky shouldn’t be working via Zoom.",10,,,Because airlines wanted to be able to fly planes and too many of their staff were out — not because a clear majority of people are no longer contagious 5 days post infection,05,,
1726991085,__NA__,,,,They are more knowledgeable than me,02,,,More data to base an opinion on,01,,
1727000883,__NA__,,,,"They ALL are partisan hacks. Why should we believe them? Wollinsky was telling the truth and they made her parrot Biden’s lies, why should we trust those monsters?",10,20,,Political nightmare for the democrats. They are going to get killed in the midterm elections and those snakes are trying to mitigate the damage by going with public opinion instead of science. Democrats are garbage.,08,06,
1727002491,__NA__,,,,Science changes but they do their best. Messaging could be better,98,,,Don’t know,98,,
1727000667,__NA__,,,,I trust science,04,,,Because symptoms that spread COVID typically end in this timeframe,01,,
1727003157,__NA__,,,,They are the leading authority.,98,,,To help business.,05,,
1727009577,I have had Covid twice and I don’t feel I need a booster,10,,,Because they have continually lied and changed their stories throughout the entire pandemic,16,13,,Because they were getting so much pressure from the Biden administration that longer isolation was hurting the economy.,06,,
1727001823,__NA__,,,,Too many opposing views,99,,,Fine,99,,
1727013539,__NA__,,,,Fairly accurate,02,,,Not sure,97,,
1727013093,I’m nervous about future side effects.,15,,,I don’t believe they can always tell us the entire truth.,98,,,"My children with Covid seemed worse for only a couple days, we’ve been around them and have yet to get it. So I know sending them back with masks and distancing will be okay after 5-6 days.",11,,
1727022507,__NA__,,,,I think scientists are still learning about this virus and there’s a lot they don’t know,98,,,I don’t hate it,99,,
1727022557,__NA__,,,,They have no incentive to mislead,01,,,10 days was too long for most people to abide by,09,,
1727025299,__NA__,,,,Fauci funded EcoHealth and Ecohealth worked at Wuhan.,10,20,98,Issue with the economy. Poll numbers for the Dems went south,06,05,
1727013209,__NA__,,,,Active and obvious political gains for them to lie,10,,,They push political agendas for the people paying them.,06,,
1727026789,__NA__,,,,They are in the field and doing the testing,02,,,People got restless,08,,
1727026133,__NA__,,,,I dont trust them,12,,,Because of how long someone is contagious but it doesnt make me feel any better,01,,
1727033879,__NA__,,,,"There is no long term data, so they only know what they know",98,,,Because they were worried people wouldn’t comply at all,08,,
1727025179,__NA__,,,,Still learning,98,,,Changes in virus and help the economy,05,02,
1727036231,I haven’t gotten covid at all so I don’t see the point. It’s also not a vaccine. It’s the equivalent of a flu shot and I never get that either.,06,,,"Because they don’t actually care about the people, all they care about is power and control. Additionally, so much of what was said when this started has been proven wrong yet they can’t admit it. Two weeks to slow the spread was the first big lie and it’s just gotten worse",20,16,,No days,99,,
1727037901,__NA__,,,,It’s their profession,02,,,Capitalism,05,,
1727037819,__NA__,,,,It’s hard to truly believe in what is said …very confusing at times,14,,,Too many people are staying out of work and the economy is suffering from it,05,,
1727045269,__NA__,,,,Trust them.,99,,,Science and data,01,,
1727038037,Because it's a never ending cycle of bologna I'm being told.,98,,,Because if I listen to the Mainstream media I hear different theories and ideas way too frequently coming from our field of so called experts.,11,13,,Because they are just as much in the dark about covid 19 as they were 2 years ago.,04,,
1727034179,__NA__,,,,“Science” is not actually science when you can’t question it and it has been politicized as much as it has been. Pharmaceutical companies have made a killing off of these experimental injections that we know nothing long-term about. It lacks common sense and it is tyrannical and irresponsible for the government to push them as much as they have.,10,20,,Nothing they have recommended is based on real science and it is because democrats are trying to look good before the upcoming elections.,06,14,04
1727000767,The only reason I had to get the vaccine in the first place was because I was forced to for my license to work in my field. Which is bullshit.,98,,,"There are a variety of conflicting studies that show various reasons. Ex. Before cloth makes were stated to be safe. Now they are not, if you get vaccinated you can't spread covid as easily, thats false. The virus is very new, the treatments are very new, and when they say they are ""safe"" thats only seeing it in human trials for a few months not years like all other vaccines.",14,13,,Because they have little to no idea either of how the virus works and people are done listening to them.,04,,
1727037909,"I’m fully vaccinated with two doses, very low risk because of my age and health, and I just recently had COVID so I still have a bolstered natural immunity.",01,11,10,A lot of the decisions/recommendations they’ve made throughout the pandemic have been politically calculated rather than based in science,10,20,,"They changed the isolation period not because the science had changed, but because so many people had Covid that they were worried it would disrupt businesses and the economy. Purely political.",06,05,
1727057947,__NA__,,,,They are experts.,02,,,Because people wouldn’t stay home for 10 days.,09,,
1727058609,I was forced to get the vaccine because I am a nurse and would have been fired… I sustained a shoulder injury as a result leaving me with bursitis causing two rotator cuff tendon tears,02,,,"There is no science behind how they handled covid, it was a money maker and a way to force vaccination, it is not a deadly virus.. it has a 99% survival rate. Fauci is a fraud and Dr Nicole Scott is an idiot",10,20,,Because they have not gotten it right to begin with and this was all about control and money not about our health,14,,
1727048447,__NA__,,,,"They've told is that if you question them, you are anti science. They say if you have different views, it's misiformation. Yet , manybthings they called misinformation , it's now come out they were wrong",16,,,Polls,08,,
1727049187,__NA__,,,,There is a lot of unknowns about COVID-19 and vaccines and treatment and information changes quickly.,98,,,10-14 days,99,,
1727058103,__NA__,,,,Clearly everyone is afraid of China and the initial dismissal of china as being the source of the virus ended up being wrong. I think everyone is just trying to maintain self preservation.,98,,,"I’m hoping it’s based on the evidence of when infected people are contagious, but it’s more likely to get healthcare workers back to work sooner.",05,,
1727059931,Just timing,07,,,Because they know science better than hicky bill and moonshine Annie in redneck land,02,,,Politics,06,,
1727056081,__NA__,,,,A pinched of Sal every time day speaking,99,,,Don't know,97,,
1727068947,__NA__,,,,It is their job to be knowledgeable regarding anything that can affect the health and well-being of the community.,02,,,The thinking is that people are most contagious during the first 5 days.,01,,
1727060555,__NA__,,,,"They don't necessarily consider the big picture, only what measures reduce spread",02,,,Because it was ridiculous to ask of people,98,,
1727070461,__NA__,,,,"They are doing the research and I trust the science. I’m also educated in science and I’m white, so I few fewer mistrust issues. I also don’t fall for conspiracies and understand what good research looks like.",02,04,,To force people back into our shitty capitalist society to drive the economy and further the white supremacist agenda at the expense of health and well-being.,05,,
1727082393,__NA__,,,,Look at Fauci. He is flip flopping everyday.,13,,,Election year. Democrats are losing voters trust,06,,
1727087925,__NA__,,,,Inconsistent. Can't simply just say it's the science. Science changes. They don't own that. They have caused their own trust problems,13,,,Keep economy open,05,,
1727090045,__NA__,,,,Public health authorities have repeatedly contradicted themselves over the past 2 years. They have also insulted and gaslit the American public.,10,13,,Public pressure,08,,
1727079141,__NA__,,,,Depending on how (source) we are getting the information,99,,,I have no idea,98,,
1727090357,I work very late and sleep during the day,07,,,I figured they wouldn't just randomly spout untrue crap,01,,,The data must show that we're doing the right stuff to move past COVID,01,,
1727090273,Because it doesn’t stop me from catching COVID and omicron doesn’t have severe symptoms,06,12,,"I’m not entirely sure what a public health scientists role is exactly, but I would trust that they do their research and analyze the data to provide their interpretations of what it says to provide their best advice to the community at large.",02,,,Largely because corporations urged them to to get their employees back to work due to staffing and supply chain shortages,05,,
1727100393,__NA__,,,,Because public health scientists have a strong foundation of education and knowing how to relay data and results in their field,02,,,To enable people to go back to work/school sooner,05,,
1727101411,__NA__,,,,Inconsistent info from multiple outlets,06,14,,Political pressure,06,,
1727104131,__NA__,,,,I trust current public health officials,03,,,Research and science,01,,
1727048457,It's completely unnecessary.,20,,,Because of how wrong they've been and because of campaigns to silence people with opposing views.,16,98,,Because it's not practical and not necessary.,98,,
1727112887,__NA__,,,,Everyone is listening to Fauci and relaying his words. He controls over $42B in grants that he will release to people that drink his koolaid.,10,20,,"Common sense dictates as such. With the Flu the symptoms usually subside in 3 days or so, and would be appropriate in Covid too",11,,
1727103911,__NA__,,,,We don’t know what we don’t know and I am tired of ever changing guidelines that are overly political.,10,20,,The 10 day period was unsustainable,09,,
1727114843,__NA__,,,,It changes frequently,13,,,I think it's to short,99,,
1727117683,__NA__,,,,"It’s their field, and they are trained to know what they are talking about.",02,,,"I think they did it because they know the omicron variant is less severe, and they also know that loosing the isolation means that labor shortages are less affected by their guidance.",02,05,
1727116363,__NA__,,,,I feel like no one really knows what is best or not okay in response to a virus since it is very person-dependent.,98,,,Due to political pressure and the lacking economy,05,06,
1727124017,__NA__,,,,This is what they study. They are the experts. I don’t a plumber questions about my electrical work.,02,,,People can test positive for 90 days. People can be symptomatic for months. I think if someone is still symptomatic they should wear a mask regardless of timing. If they are asymptomatic maybe the shorter time frame is sufficient.,99,,
1727126597,__NA__,,,,"I think they are reliable, but it is confusing with the message constantly changing.",02,13,,"Ten day isolation periods are not sustainable without support, particularly from employers. It is impossible to expect people to stay home and not be paid or be forced to use their paid time off. There needs to either be legislation or federal funds devoted to sick leave.",09,,
1727124201,__NA__,,,,Education,99,,,"Don’t know, pressure from society",08,,
1727126035,__NA__,,,,The great reset. Fuck Joe Biden.,99,,,Preassure & due to politics and higher ups. Mid terms coming up. Definitly because they thought it was the right thing to do. They have not done the right thing not even from the beggining. The who & the cdc are a joke & no lobger trusted. They have failed st every turn. They continue to lie & the people see it and are now nothing but a joke. The great reset is crumbling and failing.,06,03,08
1727126793,__NA__,,,,They keep changing the protocol. It’s different Crome state to state. I done think they really know. But they do have a better idea how to treat it now.,13,11,,Because they have no idea what to do. Two weeks to flatten the curve has turned into two years. They realize people are tired of it. This is the part that makes this political. They realize that if they don’t shorten some things they’re going to lose voters. I voted for Biden. But I only got vaccinated because my work required me to do so.,04,06,
1727135575,__NA__,,,,Federal and local agencies disagree and understanding evolving recommendations becomes challenging.,13,,,Increased information about when the virus is transmissible.,01,,
1727126739,Natural immunity,10,,,“Trust the science”,15,,,The science changed,01,,
1727136317,__NA__,,,,Different public health scientists say different things.,13,,,10 days was not necessary,09,,
1727136509,__NA__,,,,Because they're instated by people but might not know everything,99,,,Because it's cheaper to do so,05,,
1727115807,__NA__,,,,People who say otherwise according to Fauchi and CDC are removed from all platforms and then shamed publicly. Three to four months later the CDC/Fauchi says exactly what those shamed individuals said and no ramifications. Things change constantly and if they say it they aren't wrong or attacked like other people examining the same data.,13,16,,Remove the stigma and fear mongering. This variant is equal to the flu and yet the flu is not treated this way,02,,
1727136221,__NA__,,,,Sometimes their information conflicts with CDC,14,,,I assume after 5 days they are not contagious anymore,01,,
1727136737,__NA__,,,,"When an outbreak occurs, I believe we should trust the individuals who have trained in the field.",02,,,For business’s to efficiently run they need people to be able to leave their houses. Many people also don’t test until the near end of the 2 weeks.,05,,
1727136227,__NA__,,,,These people have studied for years and are trained to evaluate and treat infectious disease,02,,,More knowledge about how the virus functions,01,,
1727143519,__NA__,,,,I don't watch the news so I don't know how many people are vacanated,99,,,To get the states back on track without caring about the people,14,06,
1727146559,Not eligible for the booster yet,21,,,I think it is just government population and it was made up,10,,,Because it’s a made up theory,04,,
1727146913,__NA__,,,,It is evidence based,04,,,People weren't isolating for 10 days,09,,
1727059481,I got COVID while working as a nurse during the first wave April 2020. Got vaccinated October 2021 (negative before & after administration) and have had a persistent dry cough . January 2022 tested positive but I’m vaccinated right? Bogus! Dec to Jan I only left the house for prenatal appointments and to deliver with a mask on. I felt terrible for passing it onto my newborn. So I can live without the booster.,05,02,,They’re constantly doing research so todays theory will always be different than tomorrow. COVID let us know the CDC wasn’t certain of what they were preaching to us,02,16,,"Pressure from jobs/Congress. A lot of Americans were out of work, school and etc. Due to COVID diagnosis or isolation",05,06,
1727146423,__NA__,,,,Scientists,99,,,Previous recommendations were too conservative,09,,
1727146675,__NA__,,,,"I am a scientist. I understand the scientific process, and the quality and rigor of the work.",04,,,To help keep society open and functioning during the recent omicron wave,98,,
